,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1615,유치원,도원유치원,서울특벽시 용산구 새창로12길 11-8,서울특별시 용산구 도원동 4-3,37.5387776681,126.9576237521,용산구청,용산경찰서,Y,,6~7,2020-02-18,3020000,서울특별시 용산구
1616,유치원,복자유치원,서울특벽시 용산구 후암로34길 21-8,서울특별시 용산구 후암동 38-3,37.5520063195,126.9781811797,용산구청,용산경찰서,Y,,6,2020-02-18,3020000,서울특별시 용산구
1617,유치원,강변유치원,서울특벽시 용산구 이촌로84길 9-7,서울특별시 용산구 이촌동 300-18,37.5183375806,126.9774172644,용산구청,용산경찰서,Y,,6,2020-02-18,3020000,서울특별시 용산구
1618,유치원,한가람유치원,서울특벽시 용산구 이촌로89길 50,서울특별시 용산구 이촌동 301-54,37.5195203695,126.9812629564,용산구청,용산경찰서,Y,,6~7,2020-02-18,3020000,서울특별시 용산구
1619,유치원,계성유치원,서울특벽시 용산구 효창원로15길 15,서울특별시 용산구 신천동 1-1,37.5360636,126.9507028,용산구청,용산경찰서,Y,,8,2020-02-18,3020000,서울특별시 용산구
1620,유치원,대건유치원,서울특벽시 용산구 이촌로81길 38,서울특별시 용산구 이촌동 301-110,37.5207127078,126.9778554576,용산구청,용산경찰서,Y,,9,2020-02-18,3020000,서울특별시 용산구
1621,유치원,서초유치원,서울특별시 서초구 양재대로2길 100-64,서울특별시 서초구 우면동 769,37.4560854,127.0162166,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1622,어린이집,남태령어린이집,서울특별시 서초구 전원말길 6,서울특별시 서초구 방배동 2877,37.46589698,126.9887801,서울시 서초구,방배경찰서,N,1,1,2020-07-01,3210000,서울특별시 서초구
1623,어린이집,반포1동어린이집,서울특별시 서초구 신반포로 318,서울특별시 서초구 반포동 703-1,37.5099591,127.0184672,서울시 서초구,서초경찰서,Y,1,3,2020-07-01,3210000,서울특별시 서초구
1624,어린이집,반포서래어린이집,서울특별시 서초구 사평대로28길 70,서울특별시 서초구 반포동 74-7,37.4974379,127.0003038,서울시 서초구,방배경찰서,Y,1,3,2020-07-01,3210000,서울특별시 서초구
1625,어린이집,반포어린이집,서울특별시 서초구 사평대로20길 54,서울특별시 서초구 반포동 107-87,37.49702913,126.9967752,서울시 서초구,방배경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1626,어린이집,사랑의어린이집,서울특별시 서초구 신반포로33길 22,서울특별시 서초구 잠원동 60-5,37.50995268,127.0109679,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1627,어린이집,샤이닝키즈어린이집,서울특별시 서초구 서초대로74길 30,서울특별시 서초구 서초동 1326-17,37.49509077,127.026805,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
