기간,자치구,동,인구,면적,인구밀도
2020,강서구,화곡8동,25674,0.53,48442
2020,강서구,가양1동,34540,4.7,7349
2020,강서구,가양2동,14588,1,14588
2020,강서구,가양3동,15583,0.5,31166
2020,강서구,발산1동,37530,2.94,12765
2020,강서구,공항동,27627,10.87,2542
2020,강서구,방화1동,44550,1.48,30101
2020,강서구,방화2동,23442,6.41,3657
2020,강서구,방화3동,23577,2.55,9246
2020,강서구,화곡1동,53380,1.12,47661
2020,강서구,우장산동,43987,1.36,32343
2020,구로구,소계,432488,20.12,21496
2020,구로구,신도림동,36494,1.47,24826
2020,구로구,구로1동,21632,1.02,21208
2020,구로구,구로3동,25722,1.02,25218
2020,구로구,구로4동,25031,0.46,54415
2020,구로구,구로5동,32339,1.03,31397
2020,구로구,고척1동,23547,1.16,20299
2020,구로구,고척2동,27853,1.02,27307
2020,구로구,개봉2동,32218,0.8,40273
2020,구로구,개봉3동,21284,0.81,26277
2020,구로구,오류1동,23360,0.59,39593
2020,구로구,수궁동,24297,2.67,9100
2020,구로구,가리봉동,14263,0.4,35658
2020,구로구,구로2동,33050,1.76,18778
2020,구로구,개봉1동,35239,1.31,26900
2020,구로구,오류2동,39755,3.2,12423
2020,구로구,항동,16404,1.4,11717
2020,금천구,소계,247835,13.02,19035
2020,금천구,가산동,25973,2.52,10307
2020,금천구,독산1동,44191,2.09,21144
2020,금천구,독산2동,20666,0.6,34443
2020,금천구,독산3동,28535,0.92,31016
2020,금천구,독산4동,17464,0.59,29600
2020,금천구,시흥1동,35781,1.71,20925
2020,금천구,시흥2동,22092,1.26,17533
2020,금천구,시흥3동,11285,1.07,10547
2020,금천구,시흥4동,21520,0.87,24736
2020,금천구,시흥5동,20328,1.39,14624
2020,영등포구,소계,407367,24.55,16595
2020,영등포구,여의동,34463,8.4,4103
2020,영등포구,당산1동,21197,0.75,28263
2020,영등포구,당산2동,38011,1.55,24523
2020,영등포구,양평1동,17702,0.88,20116
2020,영등포구,양평2동,22603,3,7534
2020,영등포구,신길1동,19167,0.66,29041
2020,영등포구,신길3동,18086,0.52,34781
2020,영등포구,신길4동,12974,0.38,34142
2020,영등포구,신길5동,12496,0.47,26587
2020,영등포구,신길6동,19071,0.65,29340
2020,영등포구,신길7동,20494,0.64,32022
2020,영등포구,대림1동,17751,0.49,36227
2020,영등포구,대림2동,19776,0.55,35956
2020,영등포구,대림3동,26973,0.95,28393
