시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
광주광역시,광산구,송정1동,0.0,11615.0,2.0,0.0,0.0,0.0018055718279042792
광주광역시,광산구,송정2동,0.0,6870.0,3.0,0.0,0.0,0.0010681049905516555
광주광역시,광산구,도산동,1.0,16382.0,14.0,0.0,0.0,0.0025459137796325464
광주광역시,광산구,신흥동,0.0,4972.0,0.0,0.0,0.0,0.0007726869884542596
광주광역시,광산구,어룡동,0.0,34436.0,0.0,0.0,0.0,0.005352025410260852
광주광역시,광산구,우산동,1.0,24767.0,8.0,0.0,0.0,0.00384977814898699
광주광역시,광산구,월곡1동,0.0,13198.0,7.0,0.0,0.0,0.00205139410702182
광주광역시,광산구,월곡2동,0.0,20417.0,8.0,0.0,0.0,0.003173407492116796
광주광역시,광산구,비아동,1.0,7905.0,11.0,0.0,0.0,0.001228392616993795
광주광역시,광산구,첨단1동,0.0,26073.0,0.0,0.0,0.0,0.004052473712469875
광주광역시,광산구,첨단2동,0.0,44762.0,0.0,0.0,0.0,0.00695705801046398
광주광역시,광산구,신가동,1.0,22049.0,18.0,0.0,0.0,0.003427136335767358
광주광역시,광산구,운남동,1.0,31745.0,21.0,0.0,0.0,0.004934415047198598
광주광역시,광산구,신창동,1.0,34769.0,15.0,0.0,0.0,0.005403777469022441
광주광역시,광산구,수완동,0.0,79513.0,13.0,0.0,0.0,0.012358679143704688
광주광역시,광산구,하남동,0.0,25118.0,4.0,0.0,0.0,0.0039044053221242215
광주광역시,광산구,임곡동,0.0,2239.0,2.0,0.0,0.0,0.00034788883945289454
광주광역시,광산구,동곡동,0.0,2063.0,0.0,0.0,0.0,0.00032057525288427887
광주광역시,광산구,평동,0.0,5412.0,0.0,0.0,0.0,0.0008409709548757987
광주광역시,광산구,삼도동,0.0,2354.0,1.0,0.0,0.0,0.000365858304300668
광주광역시,광산구,본량동,0.0,2117.0,0.0,0.0,0.0,0.00032920059601121015
광주광역시,남구,양림동,0.0,7592.0,2.0,0.0,0.0,0.0005994613473217232
광주광역시,남구,방림1동,0.0,7274.0,2.0,0.0,0.0,0.0005743040965348403
광주광역시,남구,방림2동,0.0,9421.0,3.0,0.0,0.0,0.0007439358446978219
광주광역시,남구,봉선1동,0.0,15122.0,6.0,0.0,0.0,0.0011946100230799809
광주광역시,남구,봉선2동,0.0,29602.0,6.0,0.0,0.0,0.0023389055445861956
광주광역시,남구,사직동,1.0,5669.0,0.0,0.0,0.0,0.0004477990640065151
광주광역시,남구,월산동,0.0,8005.0,1.0,0.0,0.0,0.0006325251626416265
광주광역시,남구,월산4동,0.0,9225.0,1.0,0.0,0.0,0.0007288414942256923
광주광역시,남구,월산5동,0.0,6830.0,1.0,0.0,0.0,0.0005398027240271153
광주광역시,남구,백운1동,0.0,13019.0,1.0,0.0,0.0,0.001028572167886554
광주광역시,남구,백운2동,0.0,6311.0,2.0,0.0,0.0,0.0004988323441741918
광주광역시,남구,주월1동,0.0,20184.0,6.0,0.0,0.0,0.001594250921294463
광주광역시,남구,주월2동,0.0,8698.0,6.0,0.0,0.0,0.0006871523357788579
광주광역시,남구,효덕동,1.0,47590.0,0.0,0.0,0.0,0.0037599308247481225
광주광역시,남구,송암동,0.0,19302.0,0.0,0.0,0.0,0.001524529397685102
광주광역시,남구,대촌동,1.0,5769.0,0.0,0.0,0.0,0.0004557056285395354
광주광역시,동구,충장동,0.0,4502.0,0.0,0.0,0.0,0.0003457325036711617
광주광역시,동구,동명동,0.0,4066.0,1.0,0.0,0.0,0.0003119499097573476
광주광역시,동구,계림1동,0.0,6108.0,4.0,0.0,0.0,0.0004686436432299323
광주광역시,동구,계림2동,0.0,8271.0,4.0,0.0,0.0,0.0006346814984233592
광주광역시,동구,산수1동,0.0,8900.0,5.0,0.0,0.0,0.0006835584428093031
광주광역시,동구,산수2동,0.0,10764.0,5.0,0.0,0.0,0.00082659538299758
광주광역시,동구,지산1동,0.0,4818.0,2.0,0.0,0.0,0.00037017097586413366
광주광역시,동구,지산2동,0.0,5086.0,2.0,0.0,0.0,0.00039029677649363994
광주광역시,동구,서남동,0.0,3787.0,0.0,0.0,0.0,0.0002903865519400194
광주광역시,동구,학동,0.0,8629.0,3.0,0.0,0.0,0.000662713863585886
광주광역시,동구,학운동,0.0,12387.0,0.0,0.0,0.0,0.0009509440797441725
광주광역시,동구,지원1동,0.0,8266.0,0.0,0.0,0.0,0.0006346814984233592
광주광역시,동구,지원2동,0.0,14920.0,0.0,0.0,0.0,0.0011457330786940369
광주광역시,북구,중흥1동,0.0,4978.0,2.0,0.0,0.0,0.0009150051500486255
광주광역시,북구,중흥2동,0.0,7074.0,2.0,0.0,0.0,0.0013002704763848889
광주광역시,북구,중흥3동,0.0,4814.0,3.0,0.0,0.0,0.0008848164491043661
광주광역시,북구,중앙동,0.0,3387.0,0.0,0.0,0.0,0.0006224622623268733
광주광역시,북구,임동,0.0,8362.0,4.0,0.0,0.0,0.0015367486337815879
광주광역시,북구,신안동,0.0,11009.0,2.0,0.0,0.0,0.0020233617418592936
광주광역시,북구,용봉동,0.0,40651.0,13.0,0.0,0.0,0.007470984705110301
광주광역시,북구,운암1동,0.0,20146.0,4.0,0.0,0.0,0.0037024285372352474
광주광역시,북구,운암2동,0.0,12985.0,4.0,0.0,0.0,0.002386344931784318
광주광역시,북구,운암3동,0.0,15042.0,5.0,0.0,0.0,0.0027644224721814718
광주광역시,북구,동림동,0.0,22990.0,6.0,0.0,0.0,0.004224980575008501
광주광역시,북구,우산동,0.0,11272.0,4.0,0.0,0.0,0.0020715199076513265
광주광역시,북구,풍향동,0.0,6190.0,3.0,0.0,0.0,0.0011378265141610167
광주광역시,북구,문화동,0.0,19346.0,0.0,0.0,0.0,0.0035557977040774156
광주광역시,북구,문흥1동,0.0,17010.0,8.0,0.0,0.0,0.0031259681049186742
광주광역시,북구,문흥2동,0.0,16835.0,8.0,0.0,0.0,0.0030943418467865927
광주광역시,북구,두암1동,0.0,8228.0,4.0,0.0,0.0,0.0015123101615886158
광주광역시,북구,두암2동,0.0,17055.0,4.0,0.0,0.0,0.0031345934480456056
광주광역시,북구,두암3동,0.0,14476.0,5.0,0.0,0.0,0.0026601995760643857
광주광역시,북구,삼각동,0.0,14801.0,10.0,0.0,0.0,0.0027205769779529046
광주광역시,북구,일곡동,0.0,31397.0,16.0,0.0,0.0,0.005770354551917019
광주광역시,북구,매곡동,0.0,14558.0,8.0,0.0,0.0,0.0026752939265365155
광주광역시,북구,오치1동,0.0,12203.0,10.0,0.0,0.0,0.00224258921300213
광주광역시,북구,오치2동,0.0,13113.0,10.0,0.0,0.0,0.002410064625383379
광주광역시,북구,석곡동,0.0,2767.0,0.0,0.0,0.0,0.0005088952444889449
광주광역시,북구,건국동,0.0,51598.0,0.0,0.0,0.0,0.00948284598946702
광주광역시,북구,양산동,0.0,36447.0,13.0,0.0,0.0,0.0066982977166560416
광주광역시,서구,양동,0.0,4214.0,3.0,0.0,0.0,0.0007058405792205422
광주광역시,서구,양3동,0.0,4905.0,0.0,0.0,0.0,0.0008222827114341143
광주광역시,서구,농성1동,0.0,11049.0,2.0,0.0,0.0,0.0018515736579145794
광주광역시,서구,농성2동,0.0,5338.0,2.0,0.0,0.0,0.0008941605708252082
광주광역시,서구,광천동,0.0,8600.0,4.0,0.0,0.0,0.001441151080791433
광주광역시,서구,유덕동,0.0,11155.0,0.0,0.0,0.0,0.0018695431227623528
광주광역시,서구,치평동,0.0,31302.0,6.0,0.0,0.0,0.005244927399768123
광주광역시,서구,상무1동,0.0,25407.0,0.0,0.0,0.0,0.004257325611734492
광주광역시,서구,상무2동,0.0,24698.0,0.0,0.0,0.0,0.004138727143739187
광주광역시,서구,화정1동,0.0,15626.0,4.0,0.0,0.0,0.0026185104176175513
광주광역시,서구,화정2동,0.0,21373.0,4.0,0.0,0.0,0.0035816737334582096
광주광역시,서구,화정3동,0.0,10675.0,5.0,0.0,0.0,0.0017890399202443274
광주광역시,서구,화정4동,0.0,16243.0,5.0,0.0,0.0,0.0027220145351407265
광주광역시,서구,서창동,0.0,5321.0,0.0,0.0,0.0,0.0008912854564495646
광주광역시,서구,금호1동,0.0,21383.0,10.0,0.0,0.0,0.0035831112906460315
광주광역시,서구,금호2동,0.0,29651.0,11.0,0.0,0.0,0.004968916419706322
광주광역시,서구,풍암동,0.0,38587.0,11.0,0.0,0.0,0.006466132230822808
광주광역시,서구,동천동,0.0,17139.0,3.0,0.0,0.0,0.002872239261268113
부산광역시,서구,동대신1동,1.0,4769.0,1.0,0.0,0.0,0.0036736773934788096
부산광역시,서구,동대신2동,1.0,8225.0,0.0,0.0,0.0,0.006336033305324929
부산광역시,서구,동대신3동,1.0,6956.0,2.0,0.0,0.0,0.0053584944176060505
부산광역시,서구,서대신1동,1.0,12051.0,1.0,0.0,0.0,0.00928302554035978
부산광역시,서구,서대신3동,1.0,8991.0,4.0,0.0,3.0,0.006926150530925809
부산광역시,서구,서대신4동,0.0,8250.0,0.0,0.0,0.0,0.006355440327360524
부산광역시,서구,부민동,1.0,8337.0,4.0,0.0,1.0,0.006422286736594241
부산광역시,서구,아미동,1.0,8071.0,2.0,0.0,0.0,0.006217434837329623
부산광역시,서구,초장동,1.0,5109.0,0.0,0.0,0.0,0.003936031580256303
부산광역시,서구,충무동,1.0,10435.0,0.0,0.0,0.0,0.008038819794299943
부산광역시,서구,남부민1동,0.0,5412.0,2.0,0.0,1.0,0.004168915844683447
부산광역시,서구,남부민2동,0.0,10544.0,5.0,0.0,1.0,0.008122198111193612
부산광역시,서구,암남동,1.0,15471.0,3.0,0.0,5.0,0.011918067865637282
서울특별시,강남구,신사동,0.0,16914.0,3.0,47.0,0.0,0.0008093446967437174
서울특별시,강남구,논현동,0.0,45731.0,7.0,77.0,0.0,0.0021872432612709877
서울특별시,강남구,삼성동,0.0,43968.0,10.0,51.0,0.0,0.002103146165783408
서울특별시,강남구,대치동,0.0,83418.0,16.0,56.0,0.0,0.003990658753393534
서울특별시,강남구,역삼동,0.0,74062.0,6.0,121.0,0.0,0.003542859689387019
