,시도명,시군구명,읍/면/동,등록인구수,인구밀도,범죄총계(구),범죄발생비율
230,서울특별시,강남구,도곡동,56269.0,0.01,6638.0,37.45
231,서울특별시,강남구,개포동,51732.0,0.01,6638.0,34.43
232,서울특별시,강남구,일원동,57481.0,0.01,6638.0,38.25
233,서울특별시,강남구,수서동,15299.0,0.0,6638.0,10.18
234,서울특별시,강남구,세곡동,44475.0,0.0,6638.0,29.6
235,서울특별시,강남구,압구정동,27440.0,0.0,6638.0,18.26
236,서울특별시,강남구,청담동,27266.0,0.0,6638.0,18.15
237,서울특별시,송파구,풍납동,40288.0,0.0,5425.0,21.91
238,서울특별시,송파구,거여동,32407.0,0.0,5425.0,17.63
239,서울특별시,송파구,마천동,39628.0,0.0,5425.0,21.55
240,서울특별시,송파구,방이동,42973.0,0.0,5425.0,23.37
241,서울특별시,송파구,오륜동,18495.0,0.0,5425.0,10.06
242,서울특별시,송파구,오금동,39668.0,0.0,5425.0,21.58
243,서울특별시,송파구,송파동,45990.0,0.0,5425.0,25.01
244,서울특별시,송파구,석촌동,33166.0,0.0,5425.0,18.04
245,서울특별시,송파구,삼전동,31839.0,0.0,5425.0,17.32
246,서울특별시,송파구,가락동,88448.0,0.01,5425.0,48.11
247,서울특별시,송파구,문정동,50415.0,0.01,5425.0,27.42
248,서울특별시,송파구,잠실동,149873.0,0.02,5425.0,81.52
249,서울특별시,송파구,장지동,30370.0,0.0,5425.0,16.52
250,서울특별시,송파구,위례동,30366.0,0.0,5425.0,16.52
251,서울특별시,강동구,강일동,35778.0,0.0,3834.0,13.75
252,서울특별시,강동구,상일동,33345.0,0.0,3834.0,12.82
253,서울특별시,강동구,명일동,43932.0,0.0,3834.0,16.89
254,서울특별시,강동구,고덕동,48671.0,0.0,3834.0,18.71
255,서울특별시,강동구,암사동,69655.0,0.01,3834.0,26.77
256,서울특별시,강동구,성내동,68993.0,0.01,3834.0,26.52
257,서울특별시,강동구,둔촌동,26675.0,0.0,3834.0,10.25
258,서울특별시,강동구,천호동,90081.0,0.01,3834.0,34.63
259,서울특별시,강동구,길동,46868.0,0.0,3834.0,18.02
260,강원도,춘천시,신북읍,8080.0,0.01,184.0,0.95
261,강원도,춘천시,동면,20120.0,0.01,184.0,2.37
262,강원도,춘천시,동산면,1560.0,0.0,184.0,0.18
263,강원도,춘천시,신동면,2594.0,0.0,184.0,0.31
264,강원도,춘천시,남면,1123.0,0.0,184.0,0.13
265,강원도,춘천시,서면,4071.0,0.0,184.0,0.48
266,강원도,춘천시,사북면,2674.0,0.0,184.0,0.32
267,강원도,춘천시,북산면,992.0,0.0,184.0,0.12
268,강원도,춘천시,동내면,17901.0,0.01,184.0,2.11
269,강원도,춘천시,남산면,3742.0,0.0,184.0,0.44
270,강원도,춘천시,교동,4369.0,0.0,184.0,0.51
271,강원도,춘천시,조운동,3231.0,0.0,184.0,0.38
272,강원도,춘천시,약사명동,2758.0,0.0,184.0,0.33
273,강원도,춘천시,근화동,9196.0,0.01,184.0,1.08
274,강원도,춘천시,소양동,10931.0,0.01,184.0,1.29
275,강원도,춘천시,후평1동,13013.0,0.01,184.0,1.53
276,강원도,춘천시,후평2동,15730.0,0.01,184.0,1.85
277,강원도,춘천시,후평3동,18286.0,0.01,184.0,2.15
278,강원도,춘천시,효자1동,5073.0,0.0,184.0,0.6
279,강원도,춘천시,효자2동,12918.0,0.01,184.0,1.52
280,강원도,춘천시,효자3동,5335.0,0.0,184.0,0.63
281,강원도,춘천시,석사동,38051.0,0.02,184.0,4.48
282,강원도,춘천시,퇴계동,44442.0,0.03,184.0,5.24
283,강원도,춘천시,강남동,17944.0,0.01,184.0,2.11
284,강원도,춘천시,신사우동,20868.0,0.01,184.0,2.46
285,강원도,원주시,문막읍,19728.0,0.01,206.0,2.6
286,강원도,원주시,소초면,9420.0,0.01,206.0,1.24
287,강원도,원주시,호저면,4088.0,0.0,206.0,0.54
288,강원도,원주시,지정면,9638.0,0.01,206.0,1.27
289,강원도,원주시,부론면,2391.0,0.0,206.0,0.32
290,강원도,원주시,귀래면,2209.0,0.0,206.0,0.29
291,강원도,원주시,흥업면,9701.0,0.01,206.0,1.28
292,강원도,원주시,판부면,7616.0,0.0,206.0,1.0
293,강원도,원주시,신림면,3804.0,0.0,206.0,0.5
294,강원도,원주시,중앙동,3014.0,0.0,206.0,0.4
295,강원도,원주시,원인동,5870.0,0.0,206.0,0.77
296,강원도,원주시,개운동,13886.0,0.01,206.0,1.83
297,강원도,원주시,명륜1동,9494.0,0.01,206.0,1.25
298,강원도,원주시,명륜2동,17143.0,0.01,206.0,2.26
299,강원도,원주시,단구동,46006.0,0.03,206.0,6.07
300,강원도,원주시,일산동,8436.0,0.01,206.0,1.11
301,강원도,원주시,학성동,5370.0,0.0,206.0,0.71
302,강원도,원주시,단계동,26439.0,0.02,206.0,3.49
303,강원도,원주시,우산동,14745.0,0.01,206.0,1.95
304,강원도,원주시,태장1동,10620.0,0.01,206.0,1.4
305,강원도,원주시,태장2동,24159.0,0.02,206.0,3.19
306,강원도,원주시,봉산동,9059.0,0.01,206.0,1.2
307,강원도,원주시,행구동,8026.0,0.01,206.0,1.06
308,강원도,원주시,무실동,35048.0,0.02,206.0,4.62
309,강원도,원주시,반곡관설동,41511.0,0.03,206.0,5.48
310,강원도,강릉시,주문진읍,17085.0,0.01,328.0,3.59
311,강원도,강릉시,성산면,3393.0,0.0,328.0,0.71
312,강원도,강릉시,왕산면,1648.0,0.0,328.0,0.35
313,강원도,강릉시,구정면,4096.0,0.0,328.0,0.86
314,강원도,강릉시,강동면,4690.0,0.0,328.0,0.99
315,강원도,강릉시,옥계면,3857.0,0.0,328.0,0.81
316,강원도,강릉시,사천면,4601.0,0.0,328.0,0.97
317,강원도,강릉시,연곡면,6871.0,0.0,328.0,1.44
318,강원도,강릉시,홍제동,14729.0,0.01,328.0,3.09
319,강원도,강릉시,중앙동,5425.0,0.0,328.0,1.14
320,강원도,강릉시,옥천동,3694.0,0.0,328.0,0.78
321,강원도,강릉시,교1동,27236.0,0.02,328.0,5.72
322,강원도,강릉시,교2동,8284.0,0.01,328.0,1.74
323,강원도,강릉시,포남1동,11184.0,0.01,328.0,2.35
324,강원도,강릉시,포남2동,14191.0,0.01,328.0,2.98
325,강원도,강릉시,초당동,5146.0,0.0,328.0,1.08
326,강원도,강릉시,송정동,7093.0,0.0,328.0,1.49
327,강원도,강릉시,내곡동,16059.0,0.01,328.0,3.37
328,강원도,강릉시,강남동,19111.0,0.01,328.0,4.01
329,강원도,강릉시,성덕동,29100.0,0.02,328.0,6.11
330,강원도,강릉시,경포동,7746.0,0.0,328.0,1.63
331,강원도,동해시,천곡동,30768.0,0.02,190.0,3.74
332,강원도,동해시,송정동,4575.0,0.0,190.0,0.56
333,강원도,동해시,북삼동,20554.0,0.01,190.0,2.5
334,강원도,동해시,부곡동,5691.0,0.0,190.0,0.69
335,강원도,동해시,동호동,4982.0,0.0,190.0,0.61
336,강원도,동해시,발한동,4019.0,0.0,190.0,0.49
337,강원도,동해시,묵호동,3668.0,0.0,190.0,0.45
338,강원도,동해시,북평동,10651.0,0.01,190.0,1.3
339,강원도,동해시,망상동,4035.0,0.0,190.0,0.49
340,강원도,동해시,삼화동,3194.0,0.0,190.0,0.39
341,강원도,태백시,황지동,6759.0,0.0,2351.0,10.18
342,강원도,태백시,황연동,4825.0,0.0,2351.0,7.27
343,강원도,태백시,삼수동,6364.0,0.0,2351.0,9.58
344,강원도,태백시,상장동,14295.0,0.01,2351.0,21.53
345,강원도,태백시,문곡소도동,4053.0,0.0,2351.0,6.1
346,강원도,태백시,장성동,3561.0,0.0,2351.0,5.36
347,강원도,태백시,구문소동,2917.0,0.0,2351.0,4.39
348,강원도,태백시,철암동,2338.0,0.0,2351.0,3.52
349,강원도,속초시,영랑동,5026.0,0.0,448.0,1.44
350,강원도,속초시,동명동,4312.0,0.0,448.0,1.24
351,강원도,속초시,금호동,6862.0,0.0,448.0,1.97
352,강원도,속초시,교동,10357.0,0.01,448.0,2.97
353,강원도,속초시,노학동,22790.0,0.01,448.0,6.54
354,강원도,속초시,조양동,25042.0,0.02,448.0,7.19
355,강원도,속초시,청호동,4879.0,0.0,448.0,1.4
356,강원도,속초시,대포동,3426.0,0.0,448.0,0.98
357,강원도,삼척시,도계읍,11507.0,0.01,724.0,5.34
358,강원도,삼척시,원덕읍,5412.0,0.0,724.0,2.51
359,강원도,삼척시,근덕면,5565.0,0.0,724.0,2.58
360,강원도,삼척시,하장면,1366.0,0.0,724.0,0.63
361,강원도,삼척시,노곡면,723.0,0.0,724.0,0.34
362,강원도,삼척시,미로면,1947.0,0.0,724.0,0.9
363,강원도,삼척시,가곡면,735.0,0.0,724.0,0.34
364,강원도,삼척시,신기면,674.0,0.0,724.0,0.31
365,강원도,삼척시,남양동,8142.0,0.01,724.0,3.78
366,강원도,삼척시,교동,14802.0,0.01,724.0,6.86
367,강원도,삼척시,정라동,9616.0,0.01,724.0,4.46
368,강원도,삼척시,성내동,8626.0,0.01,724.0,4.0
369,강원도,홍천군,홍천읍,35919.0,0.02,229.0,5.27
370,강원도,홍천군,화촌면,4736.0,0.0,229.0,0.69
371,강원도,홍천군,두촌면,2425.0,0.0,229.0,0.36
372,강원도,홍천군,내촌면,2447.0,0.0,229.0,0.36
373,강원도,홍천군,서석면,3945.0,0.0,229.0,0.58
374,강원도,홍천군,동면,3872.0,0.0,229.0,0.57
375,강원도,홍천군,남면,6169.0,0.0,229.0,0.9
376,강원도,홍천군,서면,3886.0,0.0,229.0,0.57
377,강원도,홍천군,북방면,4014.0,0.0,229.0,0.59
378,강원도,홍천군,내면,3485.0,0.0,229.0,0.51
379,강원도,횡성군,횡성읍,21273.0,0.01,128.0,1.74
380,강원도,횡성군,우천면,4703.0,0.0,128.0,0.39
381,강원도,횡성군,안흥면,3153.0,0.0,128.0,0.26
382,강원도,횡성군,둔내면,5872.0,0.0,128.0,0.48
383,강원도,횡성군,갑천면,2362.0,0.0,128.0,0.19
384,강원도,횡성군,청일면,2431.0,0.0,128.0,0.2
385,강원도,횡성군,공근면,3626.0,0.0,128.0,0.3
386,강원도,횡성군,서원면,2165.0,0.0,128.0,0.18
387,강원도,횡성군,강림면,1755.0,0.0,128.0,0.14
388,강원도,영월군,영월읍,21767.0,0.01,178.0,2.48
389,강원도,영월군,상동읍,1143.0,0.0,178.0,0.13
390,강원도,영월군,중동면,1544.0,0.0,178.0,0.18
391,강원도,영월군,김삿갓면,1801.0,0.0,178.0,0.21
392,강원도,영월군,북면,2265.0,0.0,178.0,0.26
393,강원도,영월군,남면,2316.0,0.0,178.0,0.26
394,강원도,영월군,한반도면,3139.0,0.0,178.0,0.36
395,강원도,영월군,주천면,3965.0,0.0,178.0,0.45
396,강원도,영월군,수주면,2058.0,0.0,178.0,0.23
397,강원도,평창군,평창읍,8834.0,0.01,390.0,2.21
398,강원도,평창군,미탄면,1747.0,0.0,390.0,0.44
399,강원도,평창군,방림면,2512.0,0.0,390.0,0.63
400,강원도,평창군,대화면,5537.0,0.0,390.0,1.38
401,강원도,평창군,봉평면,5916.0,0.0,390.0,1.48
402,강원도,평창군,용평면,3261.0,0.0,390.0,0.81
403,강원도,평창군,진부면,9278.0,0.01,390.0,2.32
404,강원도,평창군,대관령면,5936.0,0.0,390.0,1.48
405,강원도,정선군,정선읍,11066.0,0.01,126.0,0.89
406,강원도,정선군,고한읍,4527.0,0.0,126.0,0.37
407,강원도,정선군,사북읍,5141.0,0.0,126.0,0.41
408,강원도,정선군,신동읍,3727.0,0.0,126.0,0.3
