시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,태백시,장성동,0.0,3561.0,3.0,0.0,2351.0,0.0,1561313.0,0.0022807726573723527,5.362096517482401
강원도,태백시,구문소동,0.0,2917.0,0.0,0.0,2351.0,0.0,1561313.0,0.0018682993096195318,4.392371676915519
강원도,태백시,철암동,0.0,2338.0,1.0,0.0,2351.0,0.0,1561313.0,0.0014974575885808932,3.52052279075368
강원도,평창군,평창읍,0.0,8834.0,4.0,0.0,390.0,0.0,1561313.0,0.005658058313739782,2.206642742358515
강원도,평창군,미탄면,0.0,1747.0,1.0,0.0,390.0,2.0,1561313.0,0.0011189300287642516,0.4363827112180581
강원도,평창군,방림면,0.0,2512.0,2.0,0.0,390.0,0.0,1561313.0,0.001608902250861935,0.6274718778361547
강원도,평창군,대화면,0.0,5537.0,4.0,0.0,390.0,0.0,1561313.0,0.0035463741094834923,1.383085902698562
강원도,평창군,봉평면,0.0,5916.0,1.0,0.0,390.0,2.0,1561313.0,0.0037891185175554167,1.4777562218466125
강원도,평창군,용평면,0.0,3261.0,4.0,0.0,390.0,0.0,1561313.0,0.002088626687922281,0.8145644082896896
강원도,평창군,진부면,0.0,9278.0,4.0,0.0,390.0,0.0,1561313.0,0.005942434348525888,2.3175493959250963
강원도,평창군,대관령면,0.0,5936.0,3.0,0.0,390.0,2.0,1561313.0,0.003801928248852088,1.4827520170523143
강원도,홍천군,홍천읍,0.0,35919.0,14.0,0.0,229.0,0.0,1561313.0,0.0230056369222571,5.2682908551968755
강원도,홍천군,화촌면,0.0,4736.0,3.0,0.0,229.0,0.0,1561313.0,0.0030333443710518007,0.6946358609708624
강원도,홍천군,두촌면,0.0,2425.0,1.0,0.0,229.0,0.0,1561313.0,0.001553179919721414,0.35567820161620384
강원도,홍천군,내촌면,0.0,2447.0,2.0,0.0,229.0,0.0,1561313.0,0.0015672706241477525,0.3589049729298353
강원도,홍천군,서석면,0.0,3945.0,2.0,0.0,229.0,0.0,1561313.0,0.0025267194982684445,0.5786187651034738
강원도,홍천군,동면,0.0,3872.0,2.0,0.0,229.0,0.0,1561313.0,0.002479963979035594,0.567911751199151
강원도,홍천군,남면,0.0,6169.0,2.0,0.0,229.0,0.0,1561313.0,0.0039511616184583105,0.9048160106269532
강원도,홍천군,서면,0.0,3886.0,4.0,0.0,229.0,2.0,1561313.0,0.002488930790943264,0.5699651511260074
강원도,홍천군,북방면,0.0,4014.0,1.0,0.0,229.0,0.0,1561313.0,0.0025709130712419613,0.5887390933144091
